页码,评论者昵称,评论星级,评论时间,有用数,评论内容
1,Hey-sexy,4星,2021-05-27 00:20:45,106,是太久没见的错觉么感觉夏目贵志同学长大了一点越来越像我未来男朋友了呢（不敢相信我如此厚脸皮哈哈好吧反正没人看见）
1,25号底片,5星,2021-05-26 23:18:53,178,热闹并不代表充实，三三金句
1,WIKI魏,4星,2021-05-30 20:24:17,56,1知遇之恩，2无法一起变强的友谊该如何安放。不是剧场版，是两集拼的。最可爱给：嘟嘟嘴喝茶吹吹的三三老师；歪脖子露出金色铃铛耳环的三蓧帅。夏天了，后会有七。
1,Judy橙子林,5星,2021-02-20 23:55:29,93,此生无悔入夏目，来世愿做帐中妖
1,荼,5星,2021-01-30 14:17:32,59,两篇ova合集。在正片开始前，池袋toho广告长得差点快睡着了。个人比较喜欢第二个故事，基情四射，还都是老熟人。是时候开始第7季动画了吧。
1,Panda的影音,4星,2021-05-28 08:30:29,34,《唤石》→猫咪老师为了喝上美酒还蛮努力的。｜《可疑的访客》→田沼：……不过无论如何，我还挺开心的，因为我和夏目看到过同样的东西了。……
1,JiLiToNo,5星,2021-01-17 22:41:48,60,其實小短篇可以留著做TV動畫啊！第七期不來一發嗎！難得的大銀幕如果能出的場名取之類的長篇就好了QvQ
1,古宋松谷,5星,2021-05-28 00:23:53,85,虽只有短短两章，仍如沙漠中的清泉。在漫长岁月后，夏目与田沼似乎进入了成人的惆怅，而妖怪们面对生命的起落与无数转瞬即逝的缘，“心情其实过中年”。
1,神豚,4星,2021-05-29 17:54:30,13,“被委托了完成不了的任务一定很难受吧，但是大人相信我能做到，我一定要回应这份期待，不是吗？”“嗯，是啊。密实是很厉害的，岩铁大人是知道这一点的。”|“你要是有在意的事，和我说就好了。”“嗯，你说得对啊。”
1,张兮兮,5星,2021-05-29 18:13:55,60,都已经十多年了，《夏目友人帐》早已拍不出新意，但是它还在，这就够了
1,kakakarl,5星,2021-05-28 11:30:17,54,50分钟里塞了俩个TV版长度的故事。在这俩个故事里，夏目都变成有能力保护其他人的人了。
1,Rocinante,5星,2021-05-29 16:46:06,76,每个妖怪都在提醒着夏目，他人类几十年的寿命在妖怪的一生中多么短暂，它们将来一定会怀念和夏目遇见的这短暂的一瞬间，不知道对立于当下，以人类的尺度还有漫长一生在眼前的夏目而言，是怎么样错乱的心情。
1,糯米团,5星,2021-05-30 14:02:00,25,弱小美好勇敢不可结缘徒增寂寞永远温柔的夏目
1,洋渔,5星,2021-01-27 19:55:41,20,纯粹纯心纯情，接纳所有情绪，接纳世界，接纳自己。故事一，工作上那卑微的自我表现，故事二，对朋友所拥有能力的羡慕…催泪片尾曲奏响，莫名很悲伤，也许是因为可以悲伤的东西太多了。短短的好电影。
1,追寻jxdszh,5星,2021-11-09 12:51:15,4,两类内容合并成一集。弱小不代表不被看好，拥有坚定的信仰和内心，能够在其他人的帮助下成就事业，而善良温柔的人也愿意成人之美。曾经的友谊因为能力成就的差别而疏远，是留着怀念过去还是互相迁就成全，热闹却不代表不寂寞，真正的友谊即使长时间不联系仍然是一见如初。唤石者的努力，三筱的故事，一部是信念，一部是情谊。
1,kiki204629,5星,2021-05-27 22:24:09,4,舍不得倍速看的动画。
1,johoyo,4星,2021-05-28 18:43:02,13,三筱粉丝狂喜！这种温柔又周到还略带点疯批性格的大妖怪谁能不心动这个故事告诉我们保护植被多样性很重要沼泽消失的话三筱就会失去他的机油
1,李湘,5星,2021-10-03 22:45:53,1,难过的时候，看看，心情慢慢好起来了。
1,ヽ 丶詸゜,5星,2021-06-12 03:11:32,3,在这漫长无止尽寂寞的时间长河里里陪伴和守护夏目大概会成为斑大人在未来的某个时刻心中久远珍贵却又美好的回忆吧😭
1,格兰芬多,5星,2021-06-02 17:53:24,1,只有50分钟的剧场版《夏目友人帐》，浓缩了两个故事，精致又温馨。第一个关于知恩图报，第二个关于友谊的发展。虽然主题不同，两个故事前后无衔接，但依旧给人带来了治愈与单纯的美好。这样的小故事，带来了内心久违的平静，真的越来越爱这个系列了。
2,猪鼻子同学,5星,2022-10-26 20:22:39,0,温暖治愈
2,玥玲大可爱,4星,2021-06-08 19:13:01,0,三筿人形好帅哦！！三花好可爱，完成了任务，不放弃。
2,Vanessa。,5星,2022-04-03 23:36:00,0,夏目的故事总是那么温情治愈。
2,Micheal,5星,2021-06-26 09:47:14,1,虽然只有短短两集，但依旧能给人耳目一新的感觉，例如唤石者利用会说话的地图来寻找神明，田沼被妖怪控制，要靠妖怪来解救这样的新颖剧情。这时候会发现，在夏目的世界里，哪怕之前发生过什么样的摩擦，到最后都能治愈一切，这样完美的世界在现实生活中又在何处呢
2,奶油小方,4星,2021-06-14 14:15:03,1,夏目的戏份有点少啊，参与感也不强，不过第二个故事里夏目和田沼的感情一如既往的感人。【9.0】
2,懒羊羊,5星,2021-05-26 22:11:15,5,还是熟悉的味道，两个类似OVA合集一个报恩的可爱的唤石小弟一个真心待友的瘦弱高中生ED真好听！
2,Kryten,5星,2022-01-18 20:26:18,1,依然亚撒西呐，太治愈了
2,浮生若梦,3星,2023-08-05 04:21:43,0,有时身处热闹之中才更感到空虚from娘口三三
2,牧三洵,4星,2021-05-26 23:30:22,2,两集剧集罢了。
2,Shaw喆宇,4星,2021-06-03 12:33:21,0,就是夏目的味道
2,屹青,5星,2022-03-17 00:33:55,0,没想到在2021年还能看到夏目友人帐！喜欢安静的讲述着每一个故事，会想起以往夏天的时候，观看夏目的自己，正值午后，窗边阳光照耀进来，安静，安心，温暖，很开心！！
2,夜子0411,5星,2021-07-28 08:55:39,0,yyds
2,六朝悬鹑,5星,2021-07-05 12:49:35,0,好久没看夏目了，还是好感动好温柔呀！
2,素衣染天香,4星,2021-06-08 18:39:26,1,就是记忆里的夏目啊。也没有什么特别的故事。但看的时候觉得温暖。这就很好啦。
2,南宫非攻,4星,2023-09-02 18:00:18,1,4星给三筱的那个故事，一直很喜欢三筱和田沼的，能把他俩打包讲一个这么温暖的故事，挺好，相比之下，第一个故事就稍微有些中规中矩了。通过最近一系列的夏目补全计划，渐渐找回了当初看夏目的那颗相对宁静的心，也挺好，嗯，那就把剧场版也一并给补了吧。
2,1w.,4星,2021-07-16 21:50:19,0,很久不见.5年没看了.依旧是熟悉的夏目只是作为剧场版过于平淡.就好像吃薯条没有番茄酱。
2,紫苏バジル,4星,2021-09-12 21:34:50,0,石起：小小的天，有大大的梦想。可疑的来访者：你是否也有一个从没赢过的朋友。其实都是老生常谈的主题了，可到夏目这里就是可以讲得又悲伤又治愈。还可以等到第七季吗？
